trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': -2.899999999999998}",25,0,34.903393874971236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': -2.949999999999998}",20,3,23.80724039714959,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': -2.999999999999998}",20,8,17.783028645392275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': -3.0499999999999976}",25,0,-8.279303511606487,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': -3.0999999999999974}",25,12,21.69168738752226,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': -3.1499999999999972}",20,0,25.418637721887862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': -3.199999999999997}",20,5,18.715294366424338,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': -3.249999999999997}",20,2,-10.994336385594194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': -3.2999999999999967}",20,6,25.076677085866574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': -3.3499999999999965}",20,8,-20.435754890066526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': -3.3999999999999964}",20,0,17.73027861256646,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': -3.449999999999996}",20,0,31.42665652669249,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': -3.499999999999996}",25,0,29.67592427610011,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': -3.549999999999996}",20,0,24.27883708909933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': -3.5999999999999956}",25,17,-24.713784538397842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': -3.6499999999999955}",25,18,15.28000902794508,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': -3.6999999999999953}",20,0,26.673381131057695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': -3.749999999999995}",25,3,31.195386328376323,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': -3.799999999999995}",30,16,26.431132542682096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': -3.8499999999999948}",25,19,11.929259910882855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': -3.8999999999999946}",25,0,35.74907660264434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': -3.9499999999999944}",25,3,31.156777298883256,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': -3.9999999999999942}",20,0,-49.51328602281759,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -4.0499999999999945}",25,0,33.07133643710399,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -4.099999999999994}",20,14,13.87435923412457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -4.149999999999994}",20,3,25.86988437231315,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -4.199999999999994}",30,0,47.768640577089386,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -4.249999999999994}",25,12,23.65893029320686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -4.299999999999994}",25,15,14.254497609559635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -4.349999999999993}",20,0,-15.360338853714484,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': -4.399999999999993}",20,0,21.213307029050675,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -4.449999999999993}",25,13,23.504712625427967,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -4.499999999999993}",20,6,19.83354127646394,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
