trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
241,False,"{'a': 0.6, 'e': 0.027323722447292576}",35,21,22.15422180437752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.6, 'e': 0.02691692521722813}",25,14,22.828604897153795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.6, 'e': 0.026516184408894188}",25,6,29.622264968698396,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.6, 'e': 0.02612140985391824}",25,17,16.189734451764814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.6, 'e': 0.025732512726359957}",30,0,51.99711240314287,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,False,"{'a': 0.6, 'e': 0.02534940552272495}",20,8,18.862364118066697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.6, 'e': 0.02497200204227616}",35,19,8.820922674557965,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
248,False,"{'a': 0.6, 'e': 0.024600217367638306}",25,11,24.432095844505067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.6, 'e': 0.02423396784569113}",20,0,27.02636407859869,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.6, 'e': 0.023873171068747038}",25,13,21.902059600578166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.6, 'e': 0.023517745856009114}",20,0,29.99414405032799,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.6, 'e': 0.023167612235305033}",20,6,24.163911005526625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.6, 'e': 0.022822691425092984}",25,9,-11.638505783917777,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.6, 'e': 0.022482905816735534}",20,7,25.6592833789054,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.6, 'e': 0.02214817895703732}",25,0,40.76323178562341,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
256,False,"{'a': 0.6, 'e': 0.021818435531042776}",25,0,34.57561034308384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.6, 'e': 0.021493601345089926}",35,20,15.70176657252609,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.6, 'e': 0.021173603310116532}",20,0,31.013366495516554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
